,Equity (SPY),Long Treasuries (TLT),Short Treasuries (SHY),Gold (GLD),Oil (DBO)
2021-01-26,-0.0061944895,-0.09220612,-0.00078793877,-0.07782768,0.14565603
2021-01-27,0.006097672,-0.101216,-0.00078793877,-0.081357494,0.18141045
2021-01-28,0.015763674,-0.09372749,-0.00067223696,-0.081655815,0.21784322
2021-01-29,0.030995183,-0.09549862,-0.0013670222,-0.09167272,0.20197283
2021-02-01,0.02866318,-0.082894534,-0.001482884,-0.07996618,0.16845621
2021-02-02,0.020827174,-0.07442443,-0.00078803895,-0.062638424,0.16088761
2021-02-03,0.030129557,-0.072751835,-0.0009036272,-0.06199304,0.16194995
2021-02-04,0.02017356,-0.09152539,-0.001019721,-0.040413145,0.14739493
2021-02-05,0.022191733,-0.07725392,-0.0011353645,-0.045850027,0.13834697
2021-02-08,0.013733416,-0.085662074,-0.0010197029,-0.05494537,0.11300825
2021-02-09,0.017803507,-0.09391237,-0.00055629265,-0.05108538,0.111696064
2021-02-10,0.0035827984,-0.1107225,-0.0007876471,-0.060566776,0.039830424
2021-02-11,0.0001166352,-0.09905407,-0.0007876471,-0.04766937,0.07204268
2021-02-12,0.0031423166,-0.07541351,-0.0010197029,-0.046098858,0.05236818
2021-02-16,-0.0038929882,-0.051083,-0.0005557559,-0.03896877,-0.0048378413
2021-02-17,-0.009219048,-0.052046396,-0.00055582746,-0.024096126,0.0330999
2021-02-18,0.000656193,-0.055907097,-0.0004399879,-0.027676307,0.0087083
2021-02-19,0.018409502,-0.04603209,-0.00055606355,-0.028976904,0.058194805
2021-02-22,0.025626183,-0.04691965,-0.00055629265,-0.055802464,0.02529421
2021-02-23,0.021755962,-0.03880612,-0.0006718809,-0.07073864,-0.0018779173
2021-02-24,0.014842096,-0.037819322,-0.00078782986,-0.054974888,-0.035484456
2021-02-25,0.04997434,-0.0048933234,0.00070688716,-0.023430062,0.0055147693
2021-02-26,0.06939121,-0.04179035,-0.0008003469,0.0006795825,0.0
2021-03-01,0.044849455,-0.021725334,-0.00047542347,0.010408116,0.030334108
2021-03-02,0.053840004,-0.02878492,-0.000590894,0.0021526646,0.038027458
2021-03-03,0.0719098,-0.009658467,0.00033637538,0.023930028,0.009433946
2021-03-04,0.091605455,-0.006817609,-1.1829323e-05,0.026249597,-0.030543758
2021-03-05,0.07374063,-0.00919918,-0.00024343154,0.019538917,-0.05180619
2021-03-08,0.08169102,0.006071343,0.0004515715,0.03702272,-0.021858891
2021-03-09,0.06409353,-0.010873341,0.0004515715,0.01162088,0.017969966
2021-03-10,0.06857354,0.0037209806,0.00033637538,0.02256909,0.007136547
2021-03-11,0.061821915,0.0031641037,0.00022022039,0.029465038,-0.012389521
2021-03-12,0.05555132,0.021737069,0.00022014572,0.02688166,-0.006208533
2021-03-15,0.042256664,0.020472819,0.00033637538,0.026045034,-0.019661058
2021-03-16,0.052936442,0.026504686,0.0005678434,0.034982983,-0.030743843
2021-03-17,0.040357158,0.038370464,0.00022026958,0.021359148,-0.024270874
2021-03-18,0.06579764,0.04619527,0.000104240295,0.023347342,0.053766433
2021-03-19,0.06973556,0.03858728,-0.00012780941,0.021813704,0.0229053
2021-03-22,0.061566625,0.018683141,-0.00012762373,0.020764502,0.040005263
2021-03-23,0.069181085,0.0103449095,-1.19281885e-05,0.031031976,0.09345666
2021-03-24,0.08063022,0.002018406,-1.1424352e-05,0.023434568,0.06482917
2021-03-25,0.06842792,0.012245499,-1.1623434e-05,0.023700137,0.079597935
2021-03-26,0.05459618,0.016350247,-0.000104315135,0.03375562,0.056746345
2021-03-29,0.048912838,0.03163875,0.00012757788,0.038366262,0.07654978
2021-03-30,0.051882226,0.0280604,0.00035924092,0.059739448,0.08810714
2021-03-31,0.055791114,0.035300706,0.00070708105,0.061227474,0.09686439
2021-04-01,0.052301317,0.01389595,0.0010665057,0.057635043,0.062187
2021-04-05,0.028098341,0.008090315,0.0009507414,0.061031435,0.098144405
2021-04-06,0.019724516,-0.0043550692,0.00060298655,0.053209104,0.092675276
2021-04-07,-0.0029062263,-0.007930461,0.0003711535,0.046047922,0.09937252
2021-04-08,0.004298704,-0.014604145,0.00025461183,0.039452206,0.07504646
2021-04-09,0.012293673,-0.0016663851,0.0006028165,0.056092795,0.0932575
2021-04-12,0.009381508,-0.0033482125,0.00083441875,0.07374697,0.09852753
2021-04-13,-0.0022306654,-0.0133754,0.0006029471,0.068629764,0.07450262
2021-04-14,-0.0014348935,-0.012615115,0.00025527226,0.07366892,0.009747583
