,Equity (SPY),Long Treasuries (TLT),Short Treasuries (SHY),Gold (GLD),Oil (DBO)
2021-05-21,0.033016294,0.042705137,-0.001368712,-0.05523552,0.11476495
2021-05-24,0.02341182,0.040678807,-0.0017167053,-0.06755604,0.095852636
2021-05-25,0.026474154,0.03590188,-0.0014846515,-0.07174618,0.0977182
2021-05-26,0.030013025,0.03767961,-0.0019135447,-0.06656716,0.10161841
2021-05-27,0.037102457,0.04772653,-0.0014495071,-0.060424253,0.10341611
2021-05-28,0.033492234,0.06096685,-0.0011014699,-0.05923815,0.08355096
2021-06-01,0.03790128,0.07001179,-0.00077636534,-0.052744005,0.039061103
2021-06-02,0.028148612,0.0716086,-0.0004284397,-0.058274563,0.045699306
2021-06-03,0.042485077,0.061207633,-0.00042898962,-0.03518708,0.06192449
2021-06-04,0.036956254,0.046308063,-0.0010089341,-0.047154583,0.055481654
2021-06-07,0.034512322,0.04170374,-0.0017046261,-0.04985327,0.07143089
2021-06-08,0.03578993,0.045999154,-0.0012403008,-0.036058642,0.032426726
2021-06-09,0.033861745,0.04817931,-0.0008925513,-0.033963837,0.027136466
2021-06-10,0.021349655,0.0403105,-0.0013563563,-0.048000004,0.022276146
2021-06-11,0.0048206504,0.06361699,-0.00066041667,-0.035503972,-0.048509263
2021-06-14,0.016812671,0.06161934,0.00015086921,-0.03092375,-0.041520018
2021-06-15,0.026712358,0.05007692,-8.1263825e-05,-0.030865077,-0.015097614
2021-06-16,0.034403376,0.060336534,0.00096313155,-0.011875533,0.003159617
2021-06-17,0.04497059,0.03876379,0.0010788494,0.016207952,0.027768416
2021-06-18,0.061004497,0.017165255,0.0016590846,0.019394832,0.026857778
2021-06-21,0.04222199,0.04466475,0.0016590002,0.00888527,0.0047058477
2021-06-22,0.03647998,0.042292174,0.0011947541,0.018120501,0.006250133
2021-06-23,0.04182483,0.03931052,0.0018912165,0.0298264,0.01926845
2021-06-24,0.031058034,0.042398352,0.0020061736,0.022510413,0.013857075
2021-06-25,0.025412355,0.06171641,0.0024934646,0.017966006,-0.021020474
2021-06-28,0.0315007,0.05201805,0.0021453735,0.017318275,-0.013349156
2021-06-29,0.026031693,0.052400615,0.0019138113,0.028115245,-0.051660273
2021-06-30,0.031503476,0.042846654,0.0012180757,0.019313559,-0.031523544
2021-07-01,0.027633071,0.025949316,0.0010669847,-0.009430596,-0.051131863
2021-07-02,0.019204848,0.016340176,0.00025549988,-0.03386234,-0.079218104
2021-07-06,0.0222711,5.903701e-05,-0.0004409078,-0.03850238,-0.03403572
2021-07-07,0.021225063,-0.0093758525,-9.272717e-05,-0.028611127,0.0023914133
2021-07-08,0.0323989,-0.014925537,-0.0005570356,-0.027715266,-0.0197869
2021-07-09,0.023599003,0.014909211,-9.331784e-05,-0.01680616,-0.051333725
2021-07-12,0.022375192,0.018627504,0.00037136686,-0.010588397,-0.057929836
2021-07-13,0.019213006,0.02590677,0.0009510153,-0.013385488,-0.08535975
2021-07-14,0.006716884,0.017963845,0.00025483913,-0.023304936,-0.08355096
2021-07-15,0.01168531,0.014331338,0.00013894044,-0.026417118,-0.08715446
2021-07-16,0.027485395,0.016883276,0.00025483913,-0.016126063,-0.1167018
2021-07-19,0.051121503,-0.005472367,-0.00020957708,-0.0052019088,0.005879891
2021-07-20,0.038479082,-0.0035929843,-0.0007886583,-0.0043782196,0.024631739
2021-07-21,0.03251154,0.0008123224,-0.0005565992,-0.007613639,-0.004011243
2021-07-22,0.024498697,-0.0058303266,-0.0006730319,-0.008433345,-0.026369946
2021-07-23,0.023164492,0.007662049,-9.287378e-05,0.009623719,-0.018957824
2021-07-26,0.025100622,0.013235273,0.00037109444,0.0070516863,-0.01729604
2021-07-27,0.028185945,-0.004209977,2.304178e-05,0.0073936395,-0.020554066
2021-07-28,0.02912737,-0.0026025884,-0.0001741127,0.0024189733,-0.028438102
2021-07-29,0.028060427,0.007314778,-0.0001741127,-0.011280293,-0.026297046
2021-07-30,0.03268625,-0.006513894,-0.00040538126,0.0072752624,-0.031058364
2021-08-02,0.031204246,-0.023865325,-0.0011246774,-0.0112653505,-0.016660502
2021-08-03,0.021882951,-0.017613191,-0.0008920855,-0.013065167,0.0007902373
2021-08-04,0.022524683,-0.007639253,-0.00031300422,-0.008887367,0.012966203
